shipment_id,order_id,warehouse_id,vehicle_id,driver_id,shipment_date,expected_delivery,actual_delivery,status,destination_city
S0062,O0283,W006,V023,D023,2026-08-07 08:00:00,2026-08-08 08:00:00,2026-08-08 08:00:00,delivered,Hyderabad
S0063,O0400,W004,V015,D015,2026-08-22 07:00:00,2026-08-24 07:00:00,2026-08-24 07:00:00,delivered,Chandigarh
S0064,O0005,W008,V009,D009,2026-08-22 05:00:00,2026-08-27 05:00:00,,delayed,Jaipur
S0065,O0130,W010,V020,D020,2026-08-24 20:00:00,2026-08-27 20:00:00,2026-08-26 20:00:00,delivered,Bengaluru
S0066,O0130,W004,V030,D030,2026-08-11 16:00:00,2026-08-16 16:00:00,2026-08-15 16:00:00,delivered,Kolkata
S0067,O0332,W010,V039,D039,2026-08-11 09:00:00,2026-08-12 09:00:00,2026-08-11 09:00:00,delivered,Chandigarh
S0068,O0167,W005,V017,D017,2026-08-22 20:00:00,2026-08-25 20:00:00,2026-08-25 20:00:00,delivered,Noida
S0069,O0413,W010,V026,D026,2026-08-23 10:00:00,2026-08-25 10:00:00,,in_transit,Chandigarh
S0070,O0255,W005,V017,D017,2026-08-31 13:00:00,2026-09-04 13:00:00,2026-09-04 13:00:00,delivered,Mumbai
S0071,O0372,W004,V044,D044,2026-08-19 20:00:00,2026-08-23 20:00:00,,delayed,Chandigarh
S0072,O0184,W009,V020,D020,2026-08-29 05:00:00,2026-09-03 05:00:00,2026-09-03 05:00:00,delivered,Ahmedabad
S0073,O0133,W009,V049,D049,2026-08-31 05:00:00,2026-09-03 05:00:00,,in_transit,Jaipur
S0074,O0182,W004,V048,D048,2026-08-29 09:00:00,2026-09-02 09:00:00,,delayed,Mumbai
S0075,O0191,W005,V038,D038,2026-08-11 14:00:00,2026-08-12 14:00:00,2026-08-13 14:00:00,delivered,Bengaluru
S0076,O0456,W004,V033,D033,2026-08-05 12:00:00,2026-08-10 12:00:00,2026-08-10 12:00:00,delivered,Lucknow
S0077,O0103,W006,V027,D027,2026-08-20 14:00:00,2026-08-22 14:00:00,2026-08-22 14:00:00,delivered,Bengaluru
S0078,O0171,W003,V021,D021,2026-08-22 01:00:00,2026-08-23 01:00:00,2026-08-23 01:00:00,delivered,Hyderabad
S0079,O0392,W003,V032,D032,2026-08-27 02:00:00,2026-08-29 02:00:00,,in_transit,Chandigarh
S0080,O0220,W007,V028,D028,2026-08-17 12:00:00,2026-08-18 12:00:00,2026-08-17 12:00:00,delivered,Noida
S0081,O0457,W006,V049,D049,2026-08-28 16:00:00,2026-08-30 16:00:00,2026-08-30 16:00:00,delivered,Jaipur
S0082,O0356,W006,V020,D020,2026-08-06 03:00:00,2026-08-10 03:00:00,2026-08-10 03:00:00,delivered,Noida
S0083,O0153,W005,V030,D030,2026-08-25 16:00:00,2026-08-30 16:00:00,2026-08-30 16:00:00,delivered,Mumbai
S0084,O0462,W008,V023,D023,2026-08-26 06:00:00,2026-08-28 06:00:00,,cancelled,Pune
S0085,O0010,W004,V015,D015,2026-08-25 04:00:00,2026-08-27 04:00:00,,in_transit,Hyderabad
S0086,O0259,W003,V008,D008,2026-08-13 20:00:00,2026-08-14 20:00:00,2026-08-14 20:00:00,delivered,Hyderabad
S0087,O0025,W002,V042,D042,2026-08-28 00:00:00,2026-08-29 00:00:00,,in_transit,Pune
S0088,O0228,W007,V008,D008,2026-08-19 08:00:00,2026-08-23 08:00:00,,in_transit,Jaipur
S0089,O0356,W001,V020,D020,2026-08-15 03:00:00,2026-08-20 03:00:00,2026-08-20 03:00:00,delivered,Pune
S0090,O0426,W002,V033,D033,2026-08-25 19:00:00,2026-08-26 19:00:00,2026-08-28 19:00:00,delivered,Jaipur
S0091,O0312,W004,V050,D050,2026-08-10 16:00:00,2026-08-12 16:00:00,2026-08-12 16:00:00,delivered,Noida
S0092,O0281,W008,V014,D014,2026-08-24 15:00:00,2026-08-27 15:00:00,2026-08-27 15:00:00,delivered,Delhi
S0093,O0428,W010,V043,D043,2026-08-17 04:00:00,2026-08-18 04:00:00,,delayed,Delhi
S0094,O0371,W002,V017,D017,2026-08-22 07:00:00,2026-08-26 07:00:00,,cancelled,Gurugram
S0095,O0136,W008,V004,D004,2026-08-05 05:00:00,2026-08-06 05:00:00,,delayed,Mumbai
S0096,O0411,W006,V028,D028,2026-08-25 03:00:00,2026-08-26 03:00:00,,delayed,Noida
S0097,O0005,W003,V043,D043,2026-08-22 05:00:00,2026-08-25 05:00:00,2026-08-24 05:00:00,delivered,Ahmedabad
S0098,O0048,W006,V022,D022,2026-08-07 03:00:00,2026-08-11 03:00:00,2026-08-10 03:00:00,delivered,Ahmedabad
S0099,O0436,W008,V027,D027,2026-08-22 05:00:00,2026-08-23 05:00:00,2026-08-23 05:00:00,delivered,Delhi
S0100,O0214,W010,V031,D031,2026-08-27 18:00:00,2026-08-31 18:00:00,2026-08-30 18:00:00,delivered,Hyderabad
S0101,O0015,W003,V031,D031,2026-08-31 15:00:00,2026-09-01 15:00:00,,delayed,Bengaluru
S0102,O0024,W999,V017,D017,2026-08-22 10:00:00,2026-08-23 10:00:00,,in_transit,Chandigarh
S0103,O0269,W010,V047,D047,2026-08-20 07:00:00,2026-08-23 07:00:00,2026-08-23 07:00:00,delivered,Pune
S0104,O0339,W004,V031,D031,2026-08-13 20:00:00,2026-08-17 20:00:00,2026-08-18 20:00:00,delivered,Noida
S0105,O0330,W003,V033,D033,2026-08-29 15:00:00,2026-09-02 15:00:00,,delayed,Delhi
S0106,O0385,W008,V021,D021,2026-08-09 10:00:00,2026-08-12 10:00:00,2026-08-11 10:00:00,delivered,Pune
S0107,O0419,W004,V006,D006,2026-08-16 14:00:00,2026-08-21 14:00:00,2026-08-23 14:00:00,delivered,Mumbai
S0108,O0061,W008,V048,D048,2026-08-22 00:00:00,2026-08-23 00:00:00,2026-08-23 00:00:00,delivered,Delhi
S0109,O0406,W010,V040,D040,2026-08-22 09:00:00,2026-08-27 09:00:00,2026-08-26 09:00:00,delivered,Mumbai
S0110,O0187,W001,V015,D015,2026-08-29 14:00:00,2026-09-01 14:00:00,2026-08-31 14:00:00,delivered,Ahmedabad
S0111,O0337,W006,V046,D046,2026-08-16 03:00:00,2026-08-17 03:00:00,,in_transit,Jaipur
S0112,O0002,W006,V023,D023,2026-08-28 20:00:00,2026-08-31 20:00:00,2026-08-31 20:00:00,delivered,Noida
S0113,O0460,W003,V032,D032,2026-08-06 13:00:00,2026-08-07 13:00:00,2026-08-07 13:00:00,delivered,Pune
S0114,O0111,W008,V013,D013,2026-08-24 10:00:00,2026-08-25 10:00:00,,in_transit,Noida
S0115,O0475,W010,V008,D008,2026-08-26 14:00:00,2026-08-30 14:00:00,,in_transit,Kolkata
S0116,O0069,W008,V001,D001,2026-08-18 01:00:00,2026-08-23 01:00:00,,delayed,Hyderabad
S0117,O0248,W009,V050,D050,2026-08-31 05:00:00,2026-09-05 05:00:00,2026-09-06 05:00:00,delivered,Pune
S0118,O0337,W010,V039,D039,2026-08-30 10:00:00,2026-09-04 10:00:00,,delayed,Pune
S0119,O0312,W004,V018,D018,2026-08-14 10:00:00,2026-08-17 10:00:00,2026-08-16 10:00:00,delivered,Hyderabad
S0120,O0359,W009,V020,D020,2026-08-28 17:00:00,2026-08-31 17:00:00,,in_transit,Kolkata
S0121,O0324,W004,V013,D013,2026-08-08 19:00:00,2026-08-11 19:00:00,,in_transit,Chandigarh
S0122,O0068,W003,V033,D033,2026-08-19 20:00:00,2026-08-22 20:00:00,,in_transit,Mumbai
S0123,O0288,W008,V038,D038,2026-08-20 13:00:00,2026-08-25 13:00:00,2026-08-26 13:00:00,delivered,Kolkata
S0124,O0055,W001,V025,D025,2026-08-06 01:00:00,2026-08-07 01:00:00,2026-08-08 01:00:00,delivered,Gurugram
S0125,O0350,W005,V010,D010,2026-08-28 01:00:00,2026-08-31 01:00:00,2026-08-30 01:00:00,delivered,Bengaluru
S0126,O0053,W010,V044,D044,2026-08-25 17:00:00,2026-08-27 17:00:00,,in_transit,Kolkata
S0127,O0200,W004,V033,D033,2026-08-27 09:00:00,2026-08-28 09:00:00,,delayed,Pune
S0128,O0214,W006,V036,D036,2026-08-03 00:00:00,2026-08-06 00:00:00,2026-08-08 00:00:00,delivered,Jaipur
S0129,O0467,W006,V049,D049,2026-08-20 17:00:00,2026-08-25 17:00:00,2026-08-25 17:00:00,delivered,Gurugram
S0130,O0230,W003,V044,D044,2026-08-04 05:00:00,2026-08-06 05:00:00,,in_transit,Delhi
S0131,O0194,W001,V028,D028,2026-08-10 17:00:00,2026-08-13 17:00:00,2026-08-12 17:00:00,delivered,Noida
S0132,O0170,W008,V046,D046,2026-08-31 04:00:00,2026-09-01 04:00:00,2026-09-01 04:00:00,delivered,Chandigarh
S0133,O0316,W005,V032,D032,2026-08-27 18:00:00,2026-09-01 18:00:00,2026-09-03 18:00:00,delivered,Kolkata
S0134,O0113,W003,V034,D034,2026-08-04 16:00:00,2026-08-06 16:00:00,2026-08-06 16:00:00,delivered,Mumbai
S0135,O0114,W004,V043,D043,2026-08-12 10:00:00,2026-08-15 10:00:00,2026-08-17 10:00:00,delivered,Kolkata
S0136,O0422,W001,V008,D008,2026-08-23 11:00:00,2026-08-27 11:00:00,2026-08-27 11:00:00,delivered,Noida
S0137,O0350,W006,V025,D025,2026-08-31 03:00:00,2026-09-04 03:00:00,2026-09-04 03:00:00,delivered,Kolkata
S0138,O0421,W006,V033,D033,2026-08-27 16:00:00,2026-08-31 16:00:00,2026-08-31 16:00:00,delivered,Mumbai
S0139,O0264,W002,V007,D007,2026-08-07 17:00:00,2026-08-12 17:00:00,2026-08-12 17:00:00,delivered,Chandigarh
S0140,O0218,W002,V014,D014,2026-08-19 13:00:00,2026-08-20 13:00:00,,in_transit,Lucknow
S0141,O0013,W008,V046,D046,2026-08-12 01:00:00,2026-08-13 01:00:00,2026-08-12 01:00:00,delivered,Kolkata
S0142,O0037,W010,V015,D015,2026-08-31 08:00:00,2026-09-04 08:00:00,2026-09-03 08:00:00,delivered,Mumbai
S0143,O0009,W007,V044,D044,2026-08-05 17:00:00,2026-08-06 17:00:00,,in_transit,Hyderabad
S0144,O0033,W010,V003,D003,2026-08-24 02:00:00,2026-08-27 02:00:00,,delayed,Delhi
S0145,O0149,W005,V039,D039,2026-08-04 09:00:00,2026-08-08 09:00:00,2026-08-09 09:00:00,delivered,Bengaluru
S0146,O0081,W009,V015,D015,2026-08-06 12:00:00,2026-08-11 12:00:00,2026-08-10 12:00:00,delivered,Chandigarh
S0147,O0455,W006,V001,D001,2026-08-19 17:00:00,2026-08-21 17:00:00,2026-08-20 17:00:00,delivered,Kolkata
S0148,O0281,W002,V020,D020,2026-08-08 11:00:00,2026-08-10 11:00:00,2026-08-10 11:00:00,delivered,Lucknow
S0149,O0095,W004,V040,D040,2026-08-28 08:00:00,2026-08-30 08:00:00,2026-08-30 08:00:00,delivered,Kolkata
S0150,O0237,W009,V005,D005,2026-08-11 02:00:00,2026-08-14 02:00:00,2026-08-13 02:00:00,delivered,Mumbai
S0151,O0183,W003,V043,D043,2026-08-22 07:00:00,2026-08-23 07:00:00,2026-08-23 07:00:00,delivered,Mumbai
S0152,O0249,W008,V022,D022,2026-08-21 09:00:00,2026-08-26 09:00:00,2026-08-25 09:00:00,delivered,Pune
S0153,O0087,W001,V021,D021,2026-08-09 07:00:00,2026-08-13 07:00:00,2026-08-12 07:00:00,delivered,Bengaluru
S0154,O0237,W008,V023,D023,2026-08-26 09:00:00,2026-08-30 09:00:00,2026-08-30 09:00:00,delivered,Gurugram
S0155,O0440,W003,V035,D999,2026-08-08 08:00:00,2026-08-09 08:00:00,,in_transit,Noida
S0156,O0435,W009,V041,D041,2026-08-02 18:00:00,2026-08-07 18:00:00,2026-08-07 18:00:00,delivered,Kolkata
S0157,O0134,W009,V035,D035,2026-08-17 20:00:00,2026-08-19 20:00:00,2026-08-18 20:00:00,delivered,Lucknow
S0158,O0238,W009,V033,D033,2026-08-04 12:00:00,2026-08-07 12:00:00,2026-08-07 12:00:00,delivered,Kolkata
S0159,O0072,W008,V011,D011,2026-08-07 18:00:00,2026-08-12 18:00:00,,in_transit,Lucknow
S0160,O0377,W008,V023,D023,2026-08-03 07:00:00,2026-08-07 07:00:00,2026-08-07 07:00:00,delivered,Noida
S0161,O0343,W004,V034,D034,2026-08-31 11:00:00,2026-09-04 11:00:00,2026-09-04 11:00:00,delivered,Noida
S0162,O0333,W006,V007,D007,2026-08-24 16:00:00,2026-08-27 16:00:00,,delayed,Gurugram
S0163,O0297,W009,V037,D037,2026-08-07 12:00:00,2026-08-11 12:00:00,2026-08-11 12:00:00,delivered,Kolkata
S0164,O0129,W007,V015,D015,2026-08-18 12:00:00,2026-08-21 12:00:00,,delayed,Mumbai
S0165,O0250,W008,V039,D039,2026-08-02 16:00:00,2026-08-04 16:00:00,2026-08-03 16:00:00,delivered,Jaipur
S0166,O0077,W003,V011,D011,2026-08-13 19:00:00,2026-08-14 19:00:00,,in_transit,Pune
S0167,O0416,W006,V047,D047,2026-08-05 15:00:00,2026-08-09 15:00:00,2026-08-08 15:00:00,delivered,Noida
S0168,O0125,W001,V009,D009,2026-08-20 18:00:00,2026-08-22 18:00:00,2026-08-22 18:00:00,delivered,Noida
S0169,O0086,W005,V012,D012,2026-08-18 12:00:00,2026-08-23 12:00:00,,cancelled,Chandigarh
S0170,O0010,W005,V006,D006,2026-08-08 14:00:00,2026-08-13 14:00:00,,cancelled,Bengaluru
S0171,O0088,W004,V027,D027,2026-08-21 04:00:00,2026-08-26 04:00:00,,delayed,Lucknow
S0172,O0320,W009,V017,D017,2026-08-07 10:00:00,2026-08-11 10:00:00,,in_transit,Delhi
S0173,O0118,W007,V025,D025,2026-08-06 03:00:00,2026-08-07 03:00:00,2026-08-09 03:00:00,delivered,Lucknow
S0174,O0311,W002,V012,D012,2026-08-17 19:00:00,2026-08-22 19:00:00,2026-08-23 19:00:00,delivered,Delhi
S0175,O0247,W003,V039,D039,2026-08-19 00:00:00,2026-08-23 00:00:00,2026-08-23 00:00:00,delivered,Ahmedabad
S0176,O0272,W007,V015,D015,2026-08-27 15:00:00,2026-08-31 15:00:00,2026-09-01 15:00:00,delivered,Pune
S0177,O0069,W005,V031,D031,2026-08-26 07:00:00,2026-08-27 07:00:00,2026-08-29 07:00:00,delivered,Gurugram
S0178,O0097,W001,V046,D046,2026-08-25 00:00:00,2026-08-30 00:00:00,2026-08-29 00:00:00,delivered,Chandigarh
S0179,O0106,W006,V027,D027,2026-08-13 03:00:00,2026-08-15 03:00:00,2026-08-14 03:00:00,delivered,Kolkata
S0180,O0217,W010,V024,D024,2026-08-21 08:00:00,2026-08-25 08:00:00,,in_transit,Pune
S0181,O0283,W009,V031,D031,2026-08-07 11:00:00,2026-08-12 11:00:00,2026-08-11 11:00:00,delivered,Hyderabad
S0182,O0177,W007,V048,D048,2026-08-06 03:00:00,2026-08-08 03:00:00,2026-08-08 03:00:00,delivered,Delhi
S0183,O0110,W009,V026,D026,2026-08-27 10:00:00,2026-09-01 10:00:00,,in_transit,Chandigarh
S0184,O0362,W001,V011,D011,2026-08-14 20:00:00,2026-08-15 20:00:00,,delayed,Lucknow
S0185,O0242,W010,V028,D028,2026-08-04 02:00:00,2026-08-07 02:00:00,2026-08-07 02:00:00,delivered,Ahmedabad
S0186,O0197,W007,V040,D040,2026-08-22 16:00:00,2026-08-25 16:00:00,,in_transit,Hyderabad
S0187,O0030,W003,V041,D041,2026-08-17 14:00:00,2026-08-18 14:00:00,2026-08-17 14:00:00,delivered,Jaipur
S0188,O0018,W010,V033,D033,2026-08-18 07:00:00,2026-08-23 07:00:00,2026-08-23 07:00:00,delivered,Chandigarh
S0189,O0001,W003,V006,D006,2026-08-10 12:00:00,2026-08-13 12:00:00,,in_transit,Pune
S0190,O0301,W004,V034,D034,2026-08-02 02:00:00,2026-08-03 02:00:00,2026-08-02 02:00:00,delivered,Mumbai
S0191,O0494,W005,V015,D015,2026-08-21 06:00:00,2026-08-25 06:00:00,,delayed,Hyderabad
S0192,O0003,W005,V012,D012,2026-08-15 16:00:00,2026-08-16 16:00:00,2026-08-15 16:00:00,delivered,Delhi
S0193,O0412,W009,V017,D017,2026-08-30 17:00:00,2026-09-04 17:00:00,2026-09-03 17:00:00,delivered,Hyderabad
S0194,O0248,W004,V049,D049,2026-08-12 14:00:00,2026-08-16 14:00:00,,delayed,Noida
S0195,O0247,W002,V017,D017,2026-08-04 12:00:00,2026-08-06 12:00:00,,in_transit,Jaipur
S0196,O0410,W006,V027,D027,2026-08-13 16:00:00,2026-08-18 16:00:00,2026-08-19 16:00:00,delivered,Gurugram
S0197,O0048,W007,V044,D044,2026-08-25 10:00:00,2026-08-26 10:00:00,2026-08-25 10:00:00,delivered,Mumbai
S0198,O0112,W010,V018,D018,2026-08-07 06:00:00,2026-08-11 06:00:00,,in_transit,Jaipur
S0199,O0377,W004,V017,D017,2026-08-08 07:00:00,2026-08-10 07:00:00,,delayed,Hyderabad
S0200,O0183,W003,V050,D050,2026-08-05 03:00:00,2026-08-06 03:00:00,,in_transit,Chandigarh
S0201,O0253,W010,V001,D001,2026-08-26 17:00:00,2026-08-27 17:00:00,2026-07-30 10:00:00,delayed,Mumbai
S0202,O0318,W006,V032,D032,2026-08-30 18:00:00,2026-09-02 18:00:00,2026-09-04 18:00:00,delivered,Pune
S0203,O0114,W010,V009,D009,2026-08-03 16:00:00,2026-08-07 16:00:00,2026-08-06 16:00:00,delivered,Pune
S0204,O0441,W003,V030,D030,2026-08-05 16:00:00,2026-08-09 16:00:00,2026-08-09 16:00:00,delivered,Pune
S0205,O0298,W002,V021,D021,2026-08-13 19:00:00,2026-08-16 19:00:00,2026-08-15 19:00:00,delivered,Bengaluru
S0206,O0491,W010,V022,D022,2026-08-13 05:00:00,2026-08-17 05:00:00,2026-08-16 05:00:00,delivered,Mumbai
S0207,O0438,W007,V018,D018,2026-08-16 05:00:00,2026-08-21 05:00:00,2026-08-21 05:00:00,delivered,Delhi
S0208,O0370,W005,V016,D016,2026-08-19 13:00:00,2026-08-23 13:00:00,2026-08-24 13:00:00,delivered,Bengaluru
S0209,O0413,W001,V012,D012,2026-08-15 15:00:00,2026-08-17 15:00:00,,cancelled,Chandigarh
S0210,O0265,W009,V047,D047,2026-08-12 15:00:00,2026-08-15 15:00:00,2026-08-16 15:00:00,delivered,Pune
S0211,O0051,W003,V004,D004,2026-08-08 08:00:00,2026-08-12 08:00:00,,delayed,Delhi
S0212,O0231,W006,V017,D017,2026-08-13 11:00:00,2026-08-18 11:00:00,2026-08-20 11:00:00,delivered,Noida
S0213,O0211,W002,V023,D023,2026-08-29 19:00:00,2026-08-31 19:00:00,2026-08-31 19:00:00,delivered,Gurugram
S0214,O0182,W006,V044,D044,2026-08-18 15:00:00,2026-08-22 15:00:00,,delayed,Pune
S0215,O0315,W005,V030,D030,2026-08-22 04:00:00,2026-08-24 04:00:00,,in_transit,Mumbai
S0216,O0216,W010,V037,D037,2026-08-14 02:00:00,2026-08-15 02:00:00,2026-08-14 02:00:00,delivered,Chandigarh
S0217,O0150,W005,V039,D039,2026-08-22 12:00:00,2026-08-25 12:00:00,,delayed,Mumbai
S0218,O0383,W010,V034,D034,2026-08-16 13:00:00,2026-08-18 13:00:00,2026-08-18 13:00:00,delivered,Chandigarh
S0219,O0129,W002,V014,D014,2026-08-07 12:00:00,2026-08-08 12:00:00,2026-08-10 12:00:00,delivered,Kolkata
S0220,O0028,W001,V050,D050,2026-08-14 16:00:00,2026-08-15 16:00:00,2026-08-15 16:00:00,delivered,Chandigarh
S0221,O0477,W007,V020,D020,2026-08-09 07:00:00,2026-08-12 07:00:00,2026-08-12 07:00:00,delivered,Noida
S0222,O0018,W006,V021,D021,2026-08-29 15:00:00,2026-09-02 15:00:00,,cancelled,Kolkata
S0223,O0479,W005,V036,D036,2026-08-16 04:00:00,2026-08-21 04:00:00,2026-08-20 04:00:00,delivered,Kolkata
